marca;modelo;precio;url_detalle
Apple;iPhone 13 Pro 256GB;$30,399.00 $ 24,299.00 o en hasta 13 pagos de $1,869.15 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-13-pro-alpine-green-256gb/70019518
Apple;Teléfonos y Smartphones;;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-14-pro-deep-purple-512gb/70020465
Apple;iPhone 12 64GB;$12,499.00 $ 4,499.00 o en hasta 13 pagos de $346.08 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-12-white-64gb/70016960
Apple;iPhone 12 128GB;$13,499.00 $ 5,499.00 o en hasta 13 pagos de $423.00 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-12-black-128gb/70016964
Apple;iPhone 12 256GB;$ 15,499.00 o en hasta 13 pagos de $1,192.23 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-12-white-256gb/70016969
Apple;iPhone 14 128GB;$14,999.00 $ 11,499.00 o en hasta 13 pagos de $884.54 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-14-midnight-128gb/70020425
Apple;Teléfonos y Smartphones;;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-14-purple-512gb/70020436
Apple;iPhone 14 256GB;$17,499.00 $ 9,499.00 o en hasta 13 pagos de $730.69 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-14-blue-256gb/70020429
Apple;iPhone 15 Pro 128GB;$23,499.00 $ 19,999.00 o en hasta 13 pagos de $1,538.38 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-15-pro-natural-128gb/70022727
Apple;iPhone 15 Pro 1TB;$34,999.00 $ 27,999.00 o en hasta 13 pagos de $2,153.77 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-15-pro-black-1tb/70022737
Apple;iPhone 15 Pro 1TB;$34,999.00 $ 27,999.00 o en hasta 13 pagos de $2,153.77 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-15-pro-black-1tb/70022737
Apple;iPhone Air;$30,999.00 $ 27,499.00 o en hasta 13 pagos de $2,115.31 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-air-blanco-512gb/71002621
Apple;iPhone 17;$ 19,999.00 o en hasta 13 pagos de $1,538.38 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-17-salvia-256gb/71002606
Apple;iPhone 17 Pro;$ 38,499.00 o en hasta 13 pagos de $2,961.46 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-17-pro-azul-1tb/71002633
Apple;iPhone 17 Pro Max;$ 30,999.00 o en hasta 13 pagos de $2,384.54 Envío gratis;https://www.telcel.com/tienda/producto/telefonos-y-smartphones/apple-iphone-17-pro-max-azul-256gb/71002636
